Imperial Conflict
  T 195   6,760   4,834,897   62,190   10,271   16,730
ToT
 HQ
 Messages
 Map
 Family
 Family Forum
 Foreign Relations
 Military
 Planets
 Market
 Rankings
 Bookmarks
 Tools
 Empire Settings
 Switch Empire

Family #
 
x,y or x,y:num
 Store
 Donate
 Forum
 Family Forum
 Chat
 Rules
 Guide
 Contact
Your Family
Overview
News
Council
Vote
Aid
Defense
Chat
The Family News: Ticks 95-195
empire
type
time desc
time asc
A	T-195		In the name of family cooperation TIF has sent a shipment of 1000000 Food to royal victorin.
A	T-194		In the name of family cooperation Who has sent a shipment of 3357350 Food 113344 Iron 12341 Octarine 22832 Endurium to TIF.
A	T-194		In the name of family cooperation Biscuit has sent a shipment of 946636 Cash 134440 Food 495417 Iron 68783 Octarine 103306 Endurium to royal victorin.
A	T-194		In the name of family cooperation royal victorin has sent a shipment of 1016139 Cash 70202 Iron 5069 Endurium to Biscuit.
A	T-194		In the name of family cooperation TIF has sent a shipment of 965495 Cash to Biscuit.
A	T-194		In the name of family cooperation TIF has sent a shipment of 80000 Cash to Who.
A	T-194		In the name of family cooperation Zanharim has sent a shipment of 70182 Iron 5049 Endurium to royal victorin.
A	T-194		In the name of family cooperation TIF has sent a shipment of 150000 Cash to Zanharim.
E	T-193		Biscuit explored planet 8 in the 91,94 system.
E	T-193		Biscuit explored planet 2 in the 91,94 system.
E	T-193		Biscuit explored planet 8 in the 81,97 system.
E	T-193		TIF explored planet 3 in the 93,89 system.
E	T-193		TIF explored planet 13 in the 79,1 system.
E	T-193		Biscuit explored planet 5 in the 91,94 system.
E	T-193		Biscuit explored planet 13 in the 81,97 system.
E	T-193		TIF explored planet 7 in the 75,91 system.
E	T-193		TIF explored planet 6 in the 75,91 system.
E	T-193		Biscuit explored planet 10 in the 81,97 system.
E	T-193		Biscuit explored planet 1 in the 70,95 system.
E	T-193		TIF explored planet 12 in the 74,90 system.
E	T-193		Biscuit explored planet 10 in the 91,94 system.
E	T-193		TIF explored planet 11 in the 75,91 system.
E	T-193		TIF explored planet 1 in the 75,91 system.
